,Date,Open,High,Low,Close,Volume
256,2013-09-23,559.0,568.8,550.15,556.9,12200.0
257,2013-10-01,546.7,563.7,538.35,551.0250000000001,20000.0
258,2013-10-11,548.0,567.0,546.0,560.85,59400.0
259,2013-10-21,558.0,590.05,552.85,579.05,44700.0
260,2013-11-01,630.0,636.65,621.05,628.25,18900.0
261,2013-11-11,614.55,615.45,601.1,603.95,13700.0
262,2013-11-21,597.0,610.0,593.0,595.5,8400.0
263,2013-12-02,672.0,686.9,642.8,673.25,28500.0
264,2013-12-12,675.0,697.0,670.0,687.6,26600.0
265,2013-12-23,669.9,688.0,669.9,674.3,19700.0
266,2014-01-01,693.0,697.8,683.0,684.25,16700.0
267,2014-01-10,663.7,671.0,650.0,653.2,13600.0
268,2014-01-21,637.0,650.0,635.0,638.05,16500.0
269,2014-02-03,580.6,610.0,570.0,576.9,10500.0
270,2014-02-13,585.0,591.6,572.0,574.05,8200.0
271,2014-02-24,680.25,687.4,675.1,679.35,33300.0
272,2014-03-03,716.9,732.95,710.05,720.05,99900.0
273,2014-03-13,793.0,822.4,787.8,818.55,17150.0
274,2014-03-24,786.0,801.6,785.0,798.2,48400.0
275,2014-04-01,857.1,863.3,844.5,847.1,49800.0
276,2014-04-11,836.0,838.0,819.05,825.0,12000.0
277,2014-04-21,845.25,846.85,833.75,833.75,12800.0
278,2014-05-12,833.0,922.7,830.0,880.25,17150.0
279,2014-05-21,930.0,981.6,926.1,934.6,52700.0
280,2014-06-02,920.0,938.1,910.0,926.65,16700.0
281,2014-06-12,1013.3,1013.3,991.15,1001.15,8400.0
282,2014-06-23,1037.45,1057.9,1021.15,1043.7,15600.0
283,2014-07-01,1120.05,1166.0,1120.05,1147.85,38600.0
284,2014-07-11,1064.45,1074.35,1035.6,1047.55,5500.0
285,2014-07-21,1099.0,1106.7,1088.05,1097.375,4700.0
286,2014-08-01,1035.0,1040.0,1029.0,1029.0,3200.0
287,2014-08-11,1015.55,1027.0,1004.1,1008.05,3100.0
288,2014-08-21,1019.5,1033.05,1005.0,1011.2,12500.0
289,2014-09-01,990.0,1123.9,980.25,1083.15,93300.0
290,2014-09-11,1144.0,1148.65,1142.0,1148.65,8400.0
291,2014-09-22,1228.0,1263.5,1215.6,1236.35,25300.0
292,2014-10-01,1160.0,1169.8,1112.2,1115.85,11700.0
293,2014-10-10,1080.0,1080.0,1050.0,1054.45,4800.0
294,2014-10-21,1039.4,1069.0,1036.35,1062.45,10600.0
295,2014-11-03,1168.75,1177.15,1136.95,1147.05,12100.0
296,2014-11-13,1105.0,1120.0,1090.0,1092.65,5100.0
297,2014-11-24,1101.05,1128.0,1101.05,1116.8,8500.0
298,2014-12-01,1110.8,1124.0,1091.05,1118.45,6100.0
299,2014-12-11,1235.55,1250.0,1210.0,1222.3,10400.0
300,2014-12-22,1165.0,1176.55,1150.0,1166.55,5200.0
301,2015-01-01,1285.0,1299.85,1272.0,1299.85,18100.0
302,2015-01-12,1270.0,1280.0,1258.25,1266.7,4800.0
303,2015-01-21,1285.55,1290.4,1266.9,1270.95,3900.0
304,2015-02-02,1291.0,1291.0,1257.0,1261.55,7600.0
305,2015-02-12,1366.5,1376.0,1341.25,1359.5,9100.0
306,2015-02-23,1415.05,1445.0,1405.1,1414.85,11300.0
307,2015-03-02,1414.6,1421.0,1394.0,1402.0,11500.0
308,2015-03-12,1328.05,1336.0,1307.2,1318.75,10100.0
309,2015-03-23,1267.1,1275.05,1234.05,1244.45,9000.0
310,2015-04-01,1264.5,1281.0,1264.5,1275.85,4900.0
311,2015-04-10,1355.5,1375.95,1340.0,1353.55,7400.0
312,2015-04-21,1322.9,1378.9,1297.7,1362.5,12700.0
313,2015-05-11,1370.4,1376.4,1328.0,1333.85,5900.0
314,2015-05-21,1348.3,1354.3,1333.0,1339.6,4900.0
315,2015-06-01,1330.0,1344.95,1313.0,1329.55,2900.0
316,2015-06-11,1296.65,1315.15,1261.0,1267.55,3900.0
317,2015-06-22,1337.15,1345.0,1325.0,1334.1,6000.0
318,2015-07-01,1325.2,1338.05,1325.0,1330.2,3300.0
319,2015-07-10,1402.75,1402.75,1364.95,1372.3,4600.0
320,2015-07-21,1395.5,1432.8,1382.0,1390.4,5800.0
321,2015-08-03,1386.7,1392.0,1367.0,1379.5,3900.0
322,2015-08-13,1340.95,1375.25,1284.2,1286.45,6800.0
323,2015-08-24,1270.0,1274.9,1155.0,1178.85,10100.0
324,2015-09-01,1224.65,1232.3,1182.6,1195.35,2600.0
325,2015-09-11,1165.55,1180.0,1153.3,1153.3,3400.0
326,2015-09-21,1123.3,1135.0,1107.0,1110.9,2800.0
327,2015-10-01,1066.95,1071.95,1045.0,1051.3,4500.0
328,2015-10-12,1131.15,1131.15,1097.1,1104.45,2900.0
329,2015-11-02,1255.0,1285.0,1239.6,1273.3,10100.0
330,2015-11-23,1174.0,1180.8,1170.05,1174.7,2800.0
331,2015-12-01,1180.0,1180.0,1174.8,1176.95,3900.0
332,2015-12-11,1131.8,1139.0,1105.3,1109.75,3700.0
333,2015-12-21,1148.0,1155.8,1129.6,1141.55,7700.0
334,2016-01-01,1122.35,1123.3,1114.0,1117.5,1400.0
335,2016-01-11,1055.0,1055.0,1001.0,1006.85,12100.0
336,2016-01-21,1007.45,1014.15,963.05,968.75,3400.0
337,2016-02-01,976.0,1025.0,975.0,997.7,7800.0
338,2016-02-12,1090.55,1106.65,1030.0,1042.5,14600.0
339,2016-02-22,1102.5,1112.0,1093.45,1106.15,5700.0
340,2016-03-01,1028.0,1048.25,1014.25,1031.0,12400.0
341,2016-03-11,1155.05,1175.15,1142.0,1147.3,6100.0
342,2016-03-21,1159.95,1174.65,1149.4,1174.65,4800.0
343,2016-04-01,1272.0,1312.0,1264.0,1291.25,14900.0
344,2016-04-11,1350.0,1432.7,1325.0,1381.9,24900.0
345,2016-04-21,1334.0,1338.15,1325.05,1330.85,4800.0
346,2016-05-02,1290.0,1299.7,1262.3,1267.5,5500.0
347,2016-05-12,1280.0,1281.1,1275.0,1281.1,4200.0
348,2016-05-23,1210.0,1229.0,1208.95,1216.4,3700.0
349,2016-06-01,1240.0,1244.0,1218.45,1229.8,4600.0
350,2016-06-10,1208.15,1229.0,1206.1,1210.15,4800.0
351,2016-06-21,1230.0,1240.0,1215.0,1232.0,4400.0
352,2016-07-01,1225.2,1240.0,1216.2,1223.85,7000.0
353,2016-07-11,1265.5,1287.0,1265.5,1276.4,11800.0
354,2016-07-21,1301.0,1322.1,1261.0,1270.55,36800.0
355,2016-08-01,1279.65,1279.65,1247.4,1250.65,4600.0
356,2016-08-11,1180.05,1191.35,1171.15,1191.35,4800.0
357,2016-08-22,1168.2,1168.2,1148.4,1155.55,2600.0
